Date,Technology,Healthcare,Financials,ConsumerCyclical,ConsumerDefensive,Energy,Utilities,RealEstate,Materials,Industrials,CommunicationServices
08/12/2014,-33132275,59370145,-27465254,16921891,-16656491,14439756,54494857,30643679,-26637312,40309439,4298426
08/13/2014,-49072077,-8754743,-47845196,-54494900,-8939694,14797045,-10123485,139333530,-24083551,-18142893,-15199612
08/14/2014,-310618876,-81932005,-152906954,-123604353,-5640181,-22197555,32986036,-28670466,5882503,126153060,-181147977
08/15/2014,-6738901,-5464817,9572960,39674692,-815794,-27886625,13515753,-17936689,-15480783,7053981,9016082
08/18/2014,-186112,-245273,15251874,1263434,624648,20180265,-69544,-1064,3312720,1455917,4184901
08/19/2014,-33050,0,-38776,0,436849,32606,0,0,0,90906,0
08/20/2014,240196,-14201,494797,121771,-182736,95057,0,0,191134,1051300,757689
08/21/2014,125455,0,-48244,0,0,135563,0,531219,0,0,0
08/25/2014,-45865,-524303,-1269595,2334,-134806,75815,182144,222025,121377,835290,-1738659
08/26/2014,105393,-62000,-390843,-32379,0,97547,0,46887,-123400,71867,0
08/27/2014,11927359,14679757,33223643,2725633,1916477,12920753,3026167,1135316,1015871,6826899,6508677
08/28/2014,68784,325025,0,-680489,-39381,0,0,0,0,105328,-30775
09/02/2014,-1724535,-3209823,701913,1451495,651780,56464,5514961,-2010135,159001,265025,-1701001
09/04/2014,-168340,36256,0,0,-129718,125215,-114078,0,0,63380,87995
09/11/2014,0,0,63445,0,-34228,0,0,0,0,0,0
09/17/2014,0,0,0,46507,0,0,0,0,0,89003,0
09/18/2014,31025,-39725,0,0,0,0,0,0,0,0,0
09/23/2014,-50000,0,0,0,0,0,0,0,0,0,0
10/01/2014,-33786,40959,56077,0,0,150624,0,0,0,0,-342405
10/02/2014,2054165,-1810995,2442420,-246839,76182,-1853018,463171,-62988,-351997,-2627507,1576508
10/03/2014,-1843006,1022013,-969712,48600,674332,-706609,286049,33490,4251,263759,734491
10/06/2014,-1779651,-77653,-32899,-19648,0,247535,0,-34226,-167655,-105320,-435535
10/07/2014,-1441472,-792083,-359934,919171,-2000178,-405552,-391230,21898,344127,-2372765,-9782106
10/08/2014,-185991,-1136765,-291065,-30078,106407,981079,540432,1427685,48387,162404,-362662
10/09/2014,514129,32127,319395,-240062,1115832,815980,-63255,85932,130211,-945847,726687
10/10/2014,-4707258,-558642,685736,863583,383345,-2656384,502861,-650696,2608610,5924515,4204304
10/14/2014,4716837,1068756,2017434,1155261,1760128,964422,188449,-34660965,2429961,1694026,-1526267
10/15/2014,323572,543355,-1111396,-1519797,7125,324583,316284,739656,230405,19005,-12958094
10/16/2014,-21280330,-13276130,-15599255,-11344990,-8913173,-7459659,375025,-4418021,-4808831,-11679726,-4860934
10/17/2014,8112658,4372175,5659786,2041874,4151149,1456753,3002900,192390,-6410,3622703,3263303
10/20/2014,-1432845,1880101,3527341,4157188,7643513,10447887,-2027941,37184545,4597220,5948000,31114
10/21/2014,-1128075,-960166,4002109,124148,195258,7231786,747682,896359,594263,2868543,1283814
10/22/2014,-11259893,-1940058,5303383,-1925745,4696656,-9242438,-811385,-625500,597799,-2028289,3411250
10/23/2014,854937,1820833,397954,-937444,-1413548,28062,-83744,19000,-203746,981174,4414599
10/24/2014,67429,-487284,-203883,-5038,-73031,141608,-60834,34845,178200,-465684,236226
10/27/2014,1135913,-582974,451318,772325,6292599,1289704,-21455,-2387525,4079546,-923210,1557838
10/28/2014,5148557,-9588575,2128858,1480269,-12086714,7093511,4442597,5339734,-2249328,4731933,5665809
10/29/2014,50465390,-16277396,-4435282,-9455964,-2939640,-5617712,2838017,7328237,-3269025,-27519313,32042922
10/30/2014,-6459643,-3984102,160164,-1500705,148551,-1542882,399140,-517722,1903422,-1938240,4107617
10/31/2014,15220000,6308544,13425351,50124,7014695,1916988,630895,-615369,383187,877269,6539349
11/03/2014,-19274075,-1351863,1656210,-5392095,-5941265,-998388,-960700,4770651,7301586,3634277,-3947095
11/04/2014,-1156416,16139186,19418070,-549204,127599473,29510641,5927465,-878387,-5917597,1007262,45258970
11/05/2014,10675982,842975,131030,-15588230,841091,-4822229,3405481,-12226,-6737203,-7879911,3585366
11/06/2014,-15136433,-14420540,-13372690,-9075327,-24614960,-1339045,-10426127,-7317100,-4658877,-21492985,4895974
11/07/2014,6152628,-4331489,-23645825,-10063038,399010,34149128,4784515,4718938,-8949231,-3550674,15532917
11/10/2014,40198097,15319604,-12577700,23724482,34672548,16534629,-16102911,2773579,-5986024,-3825541,40290566
11/12/2014,-10475041,-7531974,8170935,-30255802,9811402,-8080694,29999797,-150555754,6351728,28356795,65204837
11/13/2014,-41731071,-49274380,-13221238,15309825,3745157,25662229,-920902,11903231,-6650981,-22678644,21733932
11/14/2014,-11731373,85072976,-53281639,-42437327,-13536928,445936481,82247379,566204,164948270,-42974705,-14335151
11/17/2014,-2382524,4720228,-15206500,4560590,42702874,-17444169,3482550,-20777247,-1142976,9666858,-10250193
11/18/2014,3765271,382276,4845553,135189,918032,6200808,311802,436015,731350,-834482,3279661
11/19/2014,192282,1896821,-38085,-50398,2747891,2661312,3915203,1432059,975242,-287807,-1408161
11/20/2014,919661,203604,651469,178378,489218,372965,390728,52992,-68747,494750,20620
11/21/2014,-1063032,-308930,-338901,-228457,-128289,-58003,-20832,0,-14067,-239049,-32764
11/24/2014,-8908797,900783,495784,-2931038,550793,1746754,1271859,-1205730,1419243,1166073,520683
