Date,XLF,XLK,XLE,XLY,XLP,XLV,XLI,XLU,XLRE,XLB,XLC,SPY
2022-04-06,35.82704162597656,151.00791931152344,69.64459991455078,176.2826690673828,72.39910888671875,133.82444763183594,95.78316497802734,71.0719223022461,45.72252655029297,82.87723541259766,67.29977416992188,430.1022033691406
2022-04-07,35.788875579833984,151.24276733398438,70.5561752319336,177.18247985839844,73.27780151367188,136.39907836914062,96.10942840576172,70.89630126953125,45.34686279296875,83.41791534423828,66.71438598632812,432.2694396972656
2022-04-08,36.15143966674805,149.12925720214844,72.49784088134766,175.54910278320312,73.58628845214844,137.21571350097656,95.57208251953125,71.13663482666016,45.511783599853516,83.93016052246094,66.42169952392578,431.1136474609375
2022-04-11,35.9892463684082,145.37191772460938,70.31916809082031,172.29202270507812,73.28714752197266,134.48733520507812,95.26500701904297,70.16608428955078,44.88871765136719,83.51278686523438,65.5631332397461,423.744873046875
2022-04-12,35.598060607910156,144.7261199951172,71.48597717285156,172.67349243164062,73.30584716796875,133.1807861328125,95.11148071289062,70.43414306640625,44.75127029418945,83.53174591064453,65.02652740478516,422.1748352050781
2022-04-13,35.598060607910156,147.0548553466797,72.55252075195312,176.96734619140625,73.71715545654297,133.8340606689453,96.0038833618164,70.29550170898438,44.93452835083008,84.76490020751953,65.98265075683594,427.01019287109375
2022-04-14,35.197322845458984,143.4834442138672,72.78955078125,174.4927520751953,73.6984634399414,133.1903839111328,95.89830780029297,70.33245849609375,44.6779670715332,84.4803237915039,64.86067199707031,421.69317626953125
2022-04-18,35.407230377197266,143.9530792236328,73.8560791015625,175.02093505859375,73.0908432006836,131.7205352783203,95.56246948242188,69.95348358154297,44.56801223754883,84.55621337890625,64.64604187011719,421.8665771484375
2022-04-19,35.893836975097656,146.65370178222656,73.25444793701172,180.09727478027344,74.20323944091797,132.97901916503906,97.29927062988281,70.4063949584961,45.502620697021484,85.35301971435547,65.93386840820312,428.6766357421875
2022-04-20,36.14190673828125,146.51669311523438,73.53702545166016,177.77915954589844,75.31563568115234,134.76593017578125,97.8270263671875,70.9794921875,46.363929748535156,85.89371490478516,63.07524490356445,428.3587646484375
2022-04-21,35.56943130493164,144.0313720703125,71.2033920288086,176.05772399902344,75.25019836425781,133.27684020996094,96.8291015625,69.80558776855469,46.061561584472656,84.48982238769531,61.280067443847656,421.9532165527344
2022-04-22,34.51036834716797,140.00009155273438,69.46227264404297,171.9692840576172,74.07237243652344,128.41574096679688,94.44939422607422,68.63168334960938,45.23689270019531,81.33106231689453,59.82635498046875,410.37518310546875
2022-04-25,34.56760787963867,142.10377502441406,67.16510009765625,173.21144104003906,74.39954376220703,129.28036499023438,94.44939422607422,68.16027069091797,45.02615737915039,81.1033935546875,60.645896911621094,412.7544250488281
